,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
0,136,1174,36,13,146,173,36,13,566,490,1547,157,211,35,336,251,403,61,183,17,305,700,475,67,178,438,89,8,72,15,240,207,248,489,90,88,26,1714,18,9,57,502,88,196,889,670,487,203,114,2,3,95,6,1592,3190,330,1128,431,260,589,1317,126,1394,17,44,178,5674,28,60,38,143,104,51,227,59,42,566,209,70,23,71,19,69,1,3283,3,146,0,80,13,167,65,112
1,366,2029,1164,185,287,1740,2054,270,732,6035,450,2424,1338,222,2032,4146,674,596,1614,3506,994,585,1106,359,462,1298,1761,973,360,1361,594,3254,198,561,859,528,531,355,1045,452,1170,1939,1155,793,419,425,612,4113,969,2786,991,330,172,1757,5839,834,4060,188,389,144,800,393,810,1216,4055,311,110161,201,3571,1151,7832,1390,873,1737,866,781,1671,738,1408,906,876,465,151,447,880,268,1746,852,654,739,477,1157,305
2,137,284,0,125,103,159,120,2,115,1087,182,120,9,138,32,1051,0,235,0,0,1373,1025,2277,0,403,1279,226,88,215,9,20,2,42,290,0,42,76,0,132,0,207,388,91,45,37,46,51,677,151,0,0,83,95,266,616,0,175,101,61,61,706,5,175,252,91,162,1972,142,216,12,52,382,0,107,0,70,140,169,161,1,155,0,166,0,641,0,218,23,46,0,119,117,71
3,1441,1204,0,1,302,199,277,0,1239,5582,835,264,254,81,1330,3833,678,97,948,1,2679,3110,4705,899,404,3580,188,50,1566,261,652,2,202,690,90,1201,7,19,96,269,0,904,27,402,61,821,324,1318,1670,462,0,63,0,4284,4003,1060,2056,379,158,403,188,355,418,897,1446,533,86807,386,374,513,1736,774,0,882,923,538,485,780,317,399,763,0,262,749,1099,224,36,0,1132,339,138,801,1345
4,64,4075,4112,2516,2482,402,7,2173,626,15587,2806,620,4246,3842,1895,1896,3628,534,4628,2470,5891,5373,5431,50,1883,5457,1796,2321,559,3246,551,2,1364,525,2786,1792,2209,2287,3079,862,363,2112,2722,2226,990,779,8376,8562,2609,488,0,2929,4295,16986,17139,2900,13449,1329,2133,1473,1524,3267,1855,7,16020,869,119606,4087,1694,338,21808,1609,2882,6930,1531,1549,3585,2,996,4154,5444,4036,2478,2056,2408,5288,2594,4181,2941,1420,918,9584,3049
5,2155,3270,4057,519,690,1466,3221,47,1628,15102,1667,1294,912,1259,589,7849,1565,1248,7516,1125,5019,2480,6768,713,1594,4508,3144,30,222,4508,2221,7063,473,1690,2144,990,1594,371,3393,2504,980,1982,2870,2342,1770,791,2229,7679,3940,11237,1369,2084,2237,5844,9610,2795,6257,424,1614,1229,1,1329,1662,513,10696,1050,459992,1244,2378,622,6070,1731,918,2716,1612,1736,3034,954,443,1127,778,951,575,758,1240,1971,2593,829,2691,3626,1942,3282,339
6,2580,11760,4721,1833,9,381,8170,2575,6070,22847,1546,913,6892,418,0,10443,1841,1237,0,2050,8389,3879,20996,0,1855,5258,6055,785,375,3238,1718,0,11609,3553,2496,1320,1476,223,10200,9389,2759,8131,1802,1299,4410,4780,6049,32300,1072,0,517,2747,5389,12810,8247,3662,13745,1704,1748,1693,5423,5499,3445,1,11314,1015,527318,4400,4038,2483,22694,4277,2698,1192,403,11,8776,7,1916,1,825,975,0,1035,6418,2010,4729,1047,1934,2292,1643,3127,3532
7,79,784,214,71,81,7,190,75,774,4310,975,724,122,63,177,1060,127,482,69,11,2810,1162,2921,206,1123,1475,710,0,426,627,376,1,3,425,94,13,261,161,372,129,107,183,106,83,0,112,413,1917,468,0,0,120,16,1739,1659,460,4,429,289,300,334,0,442,1,1109,194,3754,60,194,0,173,50,0,135,144,306,589,72,623,240,1,1,0,32,2240,48,566,209,64,412,203,46,302
8,913,5327,3059,3380,439,2325,4223,1998,8422,21160,5923,0,4406,5695,3969,17271,6182,3741,4485,5677,2405,1611,2447,1373,940,2272,5090,11059,2257,7938,3209,1377,4634,5171,3811,2444,3345,1469,21908,6189,3563,5122,965,2631,3531,5026,8468,2940,5007,4823,2969,1192,6750,20063,37618,11198,21613,2538,3787,2071,5472,3792,1793,29,13166,1170,45088,3707,4640,1586,23748,1558,7654,6165,521,3033,7225,1267,3268,1440,4116,4428,7236,2943,2928,2863,6398,2349,2796,994,2407,4820,4800
9,358,28792,22743,2413,2,1609,1393,4566,8934,10250,11002,0,3132,8447,6573,5608,7442,1390,565,6340,11740,3101,10586,1487,3379,8026,3401,1349,3195,5377,3138,4211,1371,2261,7993,5462,2743,970,13304,1074,2080,6057,2375,5640,1499,11314,3198,2182,6505,1383,1609,1157,1619,40724,37926,8985,16866,3412,1560,3939,4324,1503,8,775,7937,2315,351589,16512,1915,1790,3098,482,7588,15969,0,454,4467,868,2980,2237,11143,4222,16534,363,3117,10244,6294,801,2630,6514,1866,1322,5389
10,1343,6999,1931,1606,2472,623,1061,292,726,18761,1156,827,937,1094,1068,2504,1519,636,5132,68,6617,3788,11965,2571,1686,4586,2992,1315,423,3498,2138,0,518,1436,1390,1267,926,666,1887,0,781,2338,1225,875,1,397,3387,6820,1383,475,0,1714,1298,5461,12469,1669,6649,883,168,1578,2213,2026,2720,845,5922,2060,24397,2107,5050,1284,8129,1299,802,4261,365,926,2844,814,968,1640,824,600,329,2921,2537,2050,2149,491,493,1963,595,4069,1835
11,4335,7323,2808,1445,4755,3756,3453,0,384,18955,5536,1080,822,4016,2523,16536,1590,4,5889,1903,20836,5139,17996,1973,4528,16756,7111,10479,1717,0,3869,19027,1719,217,3682,1812,1362,2778,5231,2298,2175,5688,8436,1335,1221,574,4713,16484,2379,9687,939,34,11,4443,9917,3292,12403,2373,1690,1142,4323,298,995,5,12158,863,559542,6031,6404,4193,13373,2409,177,6400,1880,3225,4156,3933,1345,7,205,0,2324,2756,4007,10,10076,0,6132,1,2748,7699,3252
12,584,1699,168,1,541,343,2479,362,2695,3976,942,1517,1581,1010,343,5286,527,656,146,1125,1901,933,5097,260,797,2558,1540,1436,749,2579,3002,4654,454,1380,157,217,690,1154,4132,316,511,343,262,2168,452,494,1736,5566,1404,74,101,1765,869,4733,9165,1667,3000,876,133,158,818,1154,867,3065,3737,500,139340,621,1529,401,2581,934,335,1999,217,294,4520,2511,688,906,67,2086,689,353,1186,802,1497,0,1678,361,371,1561,1073
13,4,1198,516,303,145,729,143,1,496,2460,638,337,421,308,75,1527,143,274,26,7,2439,1784,3506,374,977,2258,574,9,314,352,308,0,59,339,265,405,181,0,282,402,1,430,413,76,1,505,537,1376,248,21,21,472,437,2611,2163,5,2872,177,16,285,1340,188,202,469,1196,757,36871,975,217,0,496,364,312,502,75,68,157,442,724,0,1,114,1,0,1241,16,521,49,121,104,171,256,0
14,254,9090,1232,2425,2286,515,1185,1383,4017,12893,928,226,1648,51,1012,10243,644,1883,0,1849,3852,2441,6471,369,1204,3010,5740,1323,854,3057,3423,2629,6075,1258,1353,1058,1758,1800,8113,4749,1012,4328,1468,892,318,2025,3073,11104,2704,5145,2210,1002,191,15905,13404,4799,4759,1527,862,1195,648,1447,516,737,9559,1124,104351,489,3571,1450,10538,3520,2111,183,1916,683,3727,1015,1338,1298,914,283,812,994,3975,1491,4541,692,609,80,735,2258,1050
15,44,55,128,1,72,71,38,2,493,434,392,9,30,0,12,402,0,2,11,40,1158,1778,2828,37,896,1779,129,0,116,326,746,1,318,77,123,15,75,1,58,0,123,315,163,48,0,89,0,179,50,0,8,0,214,160,903,92,40,58,259,95,218,14,222,2,251,47,3140,4,18,0,499,230,1,178,12,3,417,133,310,0,1,98,0,29,819,80,210,28,59,73,112,15,39
16,230,2040,49,156,80,563,415,41,623,1806,673,805,0,2,729,1120,217,186,19,411,2511,1672,4341,416,1395,2134,584,23,151,177,252,1647,321,368,1,94,126,796,458,317,130,309,349,686,37,237,101,1153,260,166,364,0,124,292,1428,183,3469,95,167,161,552,528,304,363,1103,183,67146,34,214,75,419,2,189,320,155,3,3,193,1060,219,121,70,167,0,1107,0,586,37,58,208,173,0,0
17,57,14,289,339,3,295,132,213,598,1511,496,0,28,283,20,454,443,121,124,38,1971,1677,2622,1,706,1802,91,1,11,0,88,152,89,412,0,179,5,42,1120,1,110,289,129,171,260,455,509,247,117,0,29,359,21,2064,1248,525,5,423,158,142,799,0,173,0,1367,134,5628,114,293,0,236,216,32,78,0,1,866,186,71,122,80,311,0,250,335,131,1091,49,73,71,327,30,407
18,146,508,25,372,258,740,36,58,669,1301,1048,0,127,54,41,1291,387,356,33,15,1850,1487,1472,327,285,1453,51,139,711,90,515,0,161,267,71,102,76,186,702,148,72,37,136,186,75,436,612,677,107,0,0,210,0,1578,3079,478,3429,206,346,135,135,158,220,156,332,51,3823,82,328,263,485,98,137,349,40,655,386,0,535,408,831,78,477,9,1158,200,385,23,44,254,147,132,141
19,245,3429,558,769,559,391,1044,394,494,3597,522,450,601,435,358,1158,729,165,892,133,984,766,1682,0,311,595,633,1365,375,487,693,1076,363,257,745,235,291,113,885,131,380,1378,742,236,334,240,538,3741,313,574,190,201,128,1512,2929,588,2530,525,254,240,278,602,116,217,1986,188,49079,166,952,222,4298,35,854,322,481,1320,738,354,500,118,939,1074,579,249,579,726,906,126,313,307,127,3174,485
20,198,459,1495,352,57,1455,115,229,375,1463,493,228,57,164,478,2112,337,199,123,1075,1911,583,1734,1,559,1212,424,98,142,148,294,5533,172,269,5,127,36,101,309,69,252,100,350,358,1210,160,468,858,606,889,449,331,98,537,2448,192,3343,386,196,228,1916,365,201,73,808,104,18425,83,74,37,633,183,222,115,91,83,1042,281,223,136,107,114,109,285,992,0,1323,301,120,126,262,172,125
21,718,6042,2976,15,164,3156,621,405,420,4747,1828,0,1620,1053,1167,1929,2138,995,300,1103,1095,717,2146,581,186,1129,1399,787,693,2353,997,4151,299,303,469,513,466,546,1887,518,327,1178,499,440,802,366,1541,1656,893,281,807,433,422,4325,7818,709,1013,706,574,215,375,454,164,1303,2087,301,104684,867,3962,1429,3707,118,335,1840,595,1192,1153,467,72,778,1422,1213,1506,26,571,1006,3266,400,423,2313,115,494,619
22,775,949,479,0,576,1234,564,231,167,2679,142,489,1339,340,1298,1344,791,120,803,1812,882,1489,2386,0,583,1734,372,258,848,262,928,4443,134,541,154,84,310,204,643,258,642,655,1304,922,140,404,798,1734,634,1116,907,531,289,565,3290,334,949,368,2,296,413,275,712,604,1918,226,33677,298,990,250,3065,490,22,611,244,773,974,847,419,133,1036,503,212,714,275,269,1297,1539,403,387,238,1203,149
23,315,1857,112,255,107,1294,445,479,915,2163,742,0,68,282,898,2375,535,176,247,270,1934,1553,1816,164,528,1199,877,179,756,722,531,0,466,288,247,241,171,214,1452,209,175,685,267,503,233,359,588,636,157,195,7,183,414,3119,5163,357,2955,657,275,261,517,427,429,0,2145,118,14239,358,323,19,1632,248,802,378,123,342,1435,114,484,230,358,237,300,105,1015,257,298,176,1040,511,212,194,653
24,544,2873,513,0,561,1083,1031,141,510,8328,1644,587,1213,336,1269,4446,1080,94,2697,548,3206,1865,6602,1046,857,3059,931,649,476,1284,2225,283,64,78,350,540,239,439,416,2,616,904,451,116,74,300,1532,4854,878,806,0,376,514,2135,2522,1146,3183,399,209,157,874,500,578,677,2591,332,99025,997,521,680,2819,205,73,1663,748,406,1542,503,924,214,542,3,19,4,1023,858,1920,27,455,1209,408,596,889
25,95,1933,1300,1461,3567,0,900,986,957,15132,1146,2682,216,866,880,5186,490,1594,0,1505,4521,2545,9670,792,2807,5840,206,1053,546,1959,625,1200,654,1662,1096,318,248,994,1206,246,612,1277,1795,262,588,507,1185,5285,3118,2350,1615,0,115,4141,5366,1609,9259,234,297,623,315,364,518,35,5455,760,70809,772,5263,753,2441,1364,16,1440,259,2207,111,3015,1185,1186,0,797,0,0,1035,663,5,136,115,395,327,2200,35
26,28,394,10,35,215,0,9,165,530,1059,615,286,12,137,107,429,135,232,0,2,1623,981,1343,105,244,1626,190,33,128,290,117,1,16,250,45,91,67,82,231,343,26,127,244,63,0,26,114,594,207,1,0,98,0,1047,1065,181,20,70,90,257,66,274,263,107,165,36,2135,24,110,3,344,106,87,143,116,66,437,1,79,0,0,42,0,9,1075,99,42,24,24,49,87,45,158
27,1028,11060,1815,1774,532,2304,2428,2099,1606,24007,3007,3484,2017,442,737,13059,3038,3153,2132,16367,3980,3849,8713,774,1061,6597,4942,1561,1922,3156,4219,1487,716,4606,2505,1363,1910,1053,1505,139,1761,697,2602,9892,1479,443,3673,6446,4886,23709,2957,2254,608,9703,16245,3911,6143,1079,1266,858,331,1265,908,3542,14879,2717,135838,451,4360,1690,6773,1259,455,1108,2614,1110,3536,2278,3326,814,351,1135,123,2221,2620,159,7109,4723,1808,1817,1683,3100,1850
28,1993,14724,6380,2822,494,0,381,4071,3154,32274,6368,6132,4716,0,8778,18216,8630,3278,671,192,15431,6450,29071,480,2733,12612,4386,7030,19,7775,5717,1,4079,2452,4275,5792,1499,202,14339,4296,3296,9060,4531,2530,7218,4746,7044,27946,992,0,0,860,4940,25893,34665,5917,5817,3831,2885,1734,1909,4821,10030,717,29158,2857,153368,2429,5889,2598,13825,6010,8,6343,609,2567,9669,2521,6267,6517,2512,4267,5756,31,7183,1477,3460,10,2740,4470,2779,16327,1924
29,659,3048,2623,221,0,1150,48,331,769,2256,89,362,6,368,1239,1825,1639,83,286,1568,2521,1179,4654,537,876,1728,717,198,57,583,956,3276,691,892,431,104,988,714,1448,0,808,959,335,394,747,715,977,1813,219,1214,345,132,114,2268,3654,213,5331,821,914,436,2468,261,469,119,3478,63,52446,128,80,246,627,411,196,642,3,20,1779,119,327,391,588,117,113,0,643,205,2706,61,409,1137,267,8,697
30,0,405,2,0,1000,0,0,4,401,361,429,0,0,297,0,1,204,162,362,0,4022,3369,6151,88,605,3256,76,0,0,0,0,1,263,40,0,334,9,2,0,0,1,38,26,60,0,314,459,0,224,1,0,170,1,0,3,26,4508,321,115,106,11,0,0,508,51,41,12827,0,4,0,1,8,0,0,0,0,1322,252,286,0,622,0,13,932,295,46,124,0,0,119,205,767,1
31,0,418,38,0,263,3,63,1,103,1012,1,50,0,0,179,1567,0,16,40,2,2949,3902,4969,10,1123,5257,14,0,196,5,320,0,0,8,0,2,0,119,2,2,0,0,427,276,54,131,172,64,1,0,89,0,0,401,1215,1,259,220,26,770,343,60,251,12,331,374,42482,44,523,0,632,124,0,180,169,299,68,55,39,3,0,0,0,0,901,0,891,82,0,81,134,713,0
32,14,419,2,103,131,1475,5,0,320,761,381,201,2,2,478,413,0,241,50,1589,2947,1610,2559,0,395,2534,234,93,252,41,684,1784,128,726,107,325,0,51,19,370,285,229,236,61,438,218,193,417,1,635,811,105,0,339,399,95,8669,103,61,44,1673,0,485,275,555,221,38104,119,199,186,1408,334,0,9,405,189,430,105,875,215,227,1,0,0,983,1,522,149,176,31,223,377,14
33,2217,28064,16012,4434,7275,25925,188,8745,7365,63652,15836,9689,1436,580,15343,35505,9643,4566,2707,35199,10259,9826,10784,1947,3990,8843,19340,326,19,11868,2002,19563,2941,12390,2301,5566,8800,9061,23841,10534,8939,5125,11032,6240,7990,2198,17674,25617,5057,7995,32385,1971,5781,7142,24257,7878,18158,5818,4214,7936,21905,9850,14037,0,36986,2594,124769,1790,7312,1608,9468,7578,5196,18725,3471,2421,5223,454,7448,4123,734,6352,2767,6822,11415,1332,22440,10950,5313,2165,8509,14732,8767
34,2,2757,548,337,535,615,40,625,596,3631,623,855,413,224,351,2621,398,778,152,138,2189,1857,3047,277,546,1471,416,9,169,600,453,4,316,441,117,146,968,262,622,112,44,932,339,400,2,242,348,944,571,103,0,355,42,750,3468,612,4384,535,306,463,172,215,439,11,902,128,22619,56,80,52,479,793,0,850,287,58,1312,558,604,413,1,272,58,440,1730,260,1523,1,704,640,152,612,507
35,368,1230,676,0,3,304,320,373,696,2535,1337,463,0,467,801,1590,772,529,0,16,2547,1699,3278,225,420,1868,980,0,29,259,282,3181,108,379,224,295,0,2,1875,80,754,323,89,546,356,266,215,722,391,199,1001,263,134,836,1036,514,1399,1,192,394,802,711,305,603,450,425,13418,25,308,23,969,98,33,379,0,106,718,13,430,236,5,545,0,0,739,263,831,16,171,125,723,223,17
36,1,3700,12,0,1,168,570,1561,1795,4634,2150,0,0,0,1,2905,1090,943,3055,3818,2640,2081,3070,0,1044,950,1442,0,0,0,553,2237,2,676,739,0,1,2,3223,512,518,2,2,0,1,657,0,187,1,220,86,1448,0,0,6545,1156,7527,0,79,1219,0,0,0,0,2516,479,292991,1295,288,0,0,105,1603,1476,2817,1514,0,1087,859,193,407,1,1895,2846,690,0,1066,0,6,76,338,0,565
37,50,508,14,0,0,37,391,303,88,1060,262,58,41,0,182,644,51,204,43,30,3008,928,2525,661,837,1646,1,2,21,0,592,1014,162,168,0,2,154,0,0,2,58,205,4,0,168,93,84,379,0,343,386,0,0,114,304,0,1045,99,106,51,79,0,28,135,2,6,84559,27,151,0,132,3,19,0,0,124,0,185,56,0,0,60,0,0,254,65,11,94,81,0,216,99,186
38,808,9726,2321,1306,788,9271,1952,2047,2877,4808,2378,300,169,1,512,10378,2612,1627,5269,15624,9266,7968,11538,999,3776,7526,4440,38,2877,14,5962,19355,664,2903,33,829,672,1246,882,5,763,1527,1055,1412,1597,255,2631,9374,924,13659,2936,1056,789,924,9266,1252,11817,1532,488,429,743,606,551,126,6627,307,898749,86,5367,1407,9509,746,4741,2178,6786,77,5123,1083,3281,0,1,112,353,3261,3080,0,6758,0,1158,2,1965,1028,2128
39,255,3818,2739,335,80,999,322,113,383,3169,372,0,698,129,1322,788,913,138,1204,3749,2076,1015,1148,0,447,1808,626,373,369,0,1113,9119,134,345,152,541,151,0,587,515,726,768,434,273,238,420,104,167,167,2806,614,433,136,917,1263,27,889,117,47,76,340,225,135,0,580,143,41546,368,239,625,3354,0,955,620,234,0,469,379,203,279,12,496,48,220,144,133,1053,796,155,159,184,769,0
40,1822,5981,748,309,4445,586,2905,1947,2672,21684,2404,2264,439,171,27,5222,0,2756,3229,3,9207,5138,13456,383,2310,6667,4105,361,2353,1300,1417,1,1909,1122,1410,1881,886,2114,3,821,381,4219,183,364,447,979,2008,17950,59,26,0,1,21,4012,6137,3611,9825,580,199,2350,497,299,535,23,4669,580,346675,2527,2483,3856,5052,3130,145,311,2581,4473,2979,612,2948,6,700,4,0,44,4126,1625,7800,717,60,1313,591,9,0
41,945,2900,4449,147,2613,0,1296,469,1946,16023,1214,1718,2336,752,2399,7637,3949,2153,0,0,6562,2284,9711,711,1088,4597,3889,4925,227,3967,463,0,3357,1648,2882,1132,316,1447,4413,1979,852,2119,6,1924,898,684,3815,17337,3401,125,0,3096,268,11863,4990,4166,6458,782,2518,669,2760,3157,2855,0,12670,496,104875,1653,3230,1658,19588,1674,610,543,448,3180,9419,2841,374,2832,0,805,99,0,3838,1929,990,138,740,1256,884,8939,1189
42,3667,14351,3339,5390,1475,147,3892,4603,2995,25986,3349,3620,692,380,3003,19162,8773,1534,19087,3602,11169,4645,15321,1648,1375,11804,3849,7995,1022,0,3794,5819,2972,2607,3218,2229,3665,1218,4129,922,1378,7102,6746,7219,2960,353,2819,10928,3200,14661,2189,523,1756,18073,16601,6038,8401,780,1501,623,7477,560,2416,2333,9375,1038,773808,4411,9508,672,16632,1896,176,6627,234,5907,25,5590,3335,1413,0,1934,1019,0,2022,1096,2008,738,3606,0,2244,5850,0
43,4674,2958,2221,5188,1557,1789,35,1282,3351,37912,6846,0,946,6853,4932,3629,6572,2287,12397,582,9369,3040,28338,2737,2054,15387,8460,2371,1644,3576,5061,0,1950,2544,2182,1973,1375,1217,5039,2107,1891,8176,5676,1676,6645,2703,3041,22531,5073,363,1,31,2228,10148,27316,9360,11714,1505,2434,1858,9785,2967,2790,7930,18973,1159,318130,5226,22308,5962,21560,6485,1132,2122,1020,150,6028,32,1793,1439,136,2334,974,9420,5597,2481,8588,0,3005,1170,1502,4957,3555
44,225,229,248,21,0,476,9,2,364,253,657,1,0,43,18,183,125,30,16,80,1624,798,2292,109,737,1806,443,96,164,250,211,1,141,254,33,346,92,220,220,432,0,113,166,99,0,412,201,232,241,0,0,0,9,1482,2369,135,40,64,490,188,15,0,13,41,206,222,3940,7,241,29,313,0,32,311,0,200,294,0,37,53,83,4,237,11,510,3,2,202,9,251,35,30,223
45,1474,7204,3639,414,1154,1681,7031,139,3378,10321,4278,0,2457,3783,4166,8304,5754,1890,2085,2016,6095,4357,11438,90,3254,4940,2774,10347,2475,4439,1272,6575,1669,1387,4228,2164,2188,1247,6557,3208,2276,1894,1889,3623,3874,2059,2714,1462,4948,11307,542,386,1975,17123,19176,7173,9404,1681,2481,2162,2823,1484,440,2112,14601,1251,33845,3309,4200,3016,14623,725,5141,7407,1100,1377,5310,1347,3399,2244,3146,1622,3206,1819,2232,632,6098,3684,2023,3325,1549,797,1620
46,3095,11994,4071,4656,11504,3136,2233,10446,6057,76684,14268,3429,7992,2601,9097,28165,18205,2100,12136,1653,11988,5307,21001,2049,8799,11900,7521,5035,813,5123,5835,5909,5829,4650,7636,5449,6630,7,9328,3153,2837,12299,7169,10278,5514,4370,9069,31405,6411,1426,873,6056,3863,49626,59592,7318,13915,3469,5169,3666,7462,6054,10819,4279,30228,5586,256181,4537,17322,5511,31959,5799,3422,8900,4919,5107,4650,8227,4238,6579,1798,3324,1542,1085,8821,4758,16560,998,7589,5431,2763,19123,8105
47,86,945,79,278,298,655,21,271,441,5882,629,980,3,403,610,2719,787,407,530,116,3071,1808,4583,1014,1175,2914,600,273,693,680,690,79,222,655,94,329,511,536,1219,1,124,1161,553,306,416,576,1202,1671,436,162,1,1,184,2213,4619,1558,4093,269,563,493,1008,377,924,0,1501,384,44636,110,87,1,1085,397,426,499,123,115,1431,318,390,210,85,506,106,38,2188,341,390,162,234,174,912,680,409
48,41,276,21,101,10,25,71,0,214,531,104,128,22,73,47,176,35,148,0,135,1652,1120,1216,209,351,1206,55,0,199,132,209,0,40,26,101,31,68,3,41,136,82,280,54,39,0,23,58,233,55,9,0,9,25,459,208,244,840,0,0,78,23,101,114,17,152,65,3423,222,1,156,162,35,73,29,203,194,291,29,100,0,90,35,0,43,722,34,343,114,9,32,73,205,0
